Sample in Buffer	Sample in Window	adc_ch0
945	945	16043	
946	946	5329	
947	947	-6649	
948	948	-16921	
949	949	-23467	
950	950	-24814	
951	951	-20706	
952	952	-12206	
953	953	-909	
954	954	10294	
955	955	19585	
956	956	24494	
957	957	24067	
958	958	18242	
959	959	8054	
960	960	-3532	
961	961	-14637	
962	962	-22230	
963	963	-25011	
964	964	-22189	
965	965	-14593	
966	966	-3768	
967	967	7763	
968	968	17718	
969	969	23747	
970	970	24733	
971	971	20246	
972	972	11016	
973	973	-668	
974	974	-12089	
975	975	-20796	
976	976	-24844	
977	977	-23432	
978	978	-16928	
979	979	-6728	
980	980	4913	
981	981	15359	
982	982	22661	
983	983	24988	
984	984	21723	
985	985	13657	
986	986	2513	
987	987	-9319	
988	988	-18984	
989	989	-24328	
990	990	-24249	
991	991	-18951	
992	992	-9517	
993	993	1903	
994	994	13037	
995	995	21191	
996	996	24914	
997	997	23106	
998	998	16127	
999	999	5426	
1000	1000	-6454	
1001	1001	-16894	
1002	1002	-23474	
1003	1003	-24800	
1004	1004	-20686	
1005	1005	-12020	
1006	1006	-1012	
1007	1007	10540	
1008	1008	19543	
1009	1009	24473	
1010	1010	24103	
1011	1011	18240	
1012	1012	8336	
1013	1013	-3609	
1014	1014	-14560	
1015	1015	-22324	
1016	1016	-25002	
1017	1017	-22239	
1018	1018	-14555	
1019	1019	-3900	
1020	1020	7694	
1021	1021	17582	
1022	1022	23734	
1023	1023	24702	
1024	1024	20162	
1025	1025	11084	
1026	1026	-709	
1027	1027	-12093	
1028	1028	-20833	
1029	1029	-24849	
1030	1030	-23441	
1031	1031	-16896	
1032	1032	-6724	
1033	1033	4855	
1034	1034	15433	
1035	1035	22610	
1036	1036	24992	
1037	1037	21806	
1038	1038	13758	
1039	1039	2333	
1040	1040	-9388	
1041	1041	-19061	
1042	1042	-24353	
1043	1043	-24267	
1044	1044	-18863	
1045	1045	-9476	
1046	1046	1977	
1047	1047	13001	
1048	1048	21208	
1049	1049	24912	
1050	1050	23126	
1051	1051	16068	
1052	1052	5410	
1053	1053	-6544	
1054	1054	-16893	
1055	1055	-23476	
1056	1056	-24817	
1057	1057	-20714	
1058	1058	-12078	
1059	1059	-929	
1060	1060	10387	
1061	1061	19570	
1062	1062	24474	
1063	1063	24092	
1064	1064	18256	
1065	1065	8282	
1066	1066	-3545	
1067	1067	-14757	
1068	1068	-22303	
1069	1069	-25003	
1070	1070	-22236	
1071	1071	-14506	
1072	1072	-3699	
1073	1073	7757	
1074	1074	17545	
1075	1075	23691	
1076	1076	24696	
1077	1077	20186	
1078	1078	11061	
1079	1079	-607	
1080	1080	-12105	
1081	1081	-20708	
1082	1082	-24843	
1083	1083	-23403	
1084	1084	-16820	
1085	1085	-6581	
1086	1086	5042	
1087	1087	15278	
1088	1088	22620	
1089	1089	24991	
1090	1090	21819	
1091	1091	13755	
1092	1092	2424	
1093	1093	-9395	
1094	1094	-19039	
1095	1095	-24337	
1096	1096	-24270	
1097	1097	-18977	
1098	1098	-9571	
1099	1099	1827	
1100	1100	13122	
1101	1101	21256	
1102	1102	24919	
1103	1103	23072	
1104	1104	16053	
1105	1105	5432	
1106	1106	-6445	
1107	1107	-16944	
1108	1108	-23470	
1109	1109	-24813	
1110	1110	-20646	
1111	1111	-12138	
1112	1112	-982	
1113	1113	10488	
1114	1114	19495	
1115	1115	24471	
1116	1116	24091	
1117	1117	18225	
1118	1118	8269	
1119	1119	-3562	
1120	1120	-14469	
1121	1121	-22277	
1122	1122	-24998	
1123	1123	-22108	
1124	1124	-14530	
1125	1125	-3949	
1126	1126	7594	
1127	1127	17424	
1128	1128	23709	
1129	1129	24693	
1130	1130	20129	
1131	1131	10979	
1132	1132	-641	
1133	1133	-12017	
1134	1134	-20831	
1135	1135	-24851	
1136	1136	-23422	
1137	1137	-16864	
1138	1138	-6817	
1139	1139	4817	
1140	1140	15400	
1141	1141	22626	
1142	1142	24986	
1143	1143	21840	
1144	1144	13640	
1145	1145	2487	
1146	1146	-9407	
1147	1147	-19030	
1148	1148	-24309	
1149	1149	-24274	
1150	1150	-18950	
1151	1151	-9430	
1152	1152	1911	
1153	1153	13013	
1154	1154	21224	
1155	1155	24906	
1156	1156	23085	
1157	1157	16114	
1158	1158	5361	
1159	1159	-6526	
1160	1160	-16842	
1161	1161	-23487	
1162	1162	-24824	
1163	1163	-20774	
1164	1164	-12105	
1165	1165	-1018	
1166	1166	10403	
1167	1167	19591	
1168	1168	24495	
1169	1169	24065	
1170	1170	18314	
1171	1171	8338	
1172	1172	-3585	
1173	1173	-14539	
1174	1174	-22288	
1175	1175	-25002	
1176	1176	-22218	
1177	1177	-14572	
1178	1178	-3911	
1179	1179	7645	
1180	1180	17585	
1181	1181	23743	
1182	1182	24725	
1183	1183	20215	
1184	1184	11081	
1185	1185	-635	
1186	1186	-12158	
1187	1187	-20777	
1188	1188	-24836	
1189	1189	-23435	
1190	1190	-16887	
1191	1191	-6719	
1192	1192	4928	
1193	1193	15449	
1194	1194	22646	
1195	1195	24994	
1196	1196	21821	
1197	1197	13748	
1198	1198	2480	
1199	1199	-9290	
1200	1200	-18980	
1201	1201	-24332	
1202	1202	-24284	
1203	1203	-18944	
1204	1204	-9452	
1205	1205	1913	
1206	1206	12916	
1207	1207	21242	
1208	1208	24922	
1209	1209	23111	
1210	1210	16121	
1211	1211	5516	
1212	1212	-6488	
1213	1213	-16881	
1214	1214	-23463	
1215	1215	-24816	
1216	1216	-20726	
1217	1217	-12114	
1218	1218	-1107	
1219	1219	10330	
1220	1220	19556	
1221	1221	24470	
1222	1222	24092	
1223	1223	18326	
1224	1224	8307	
1225	1225	-3559	
1226	1226	-14578	
1227	1227	-22354	
1228	1228	-24999	
1229	1229	-22198	
1230	1230	-14552	
1231	1231	-3940	
1232	1232	7703	
1233	1233	17574	
1234	1234	23710	
1235	1235	24715	
1236	1236	20287	
1237	1237	11162	
1238	1238	-523	
1239	1239	-12040	
1240	1240	-20785	
1241	1241	-24846	
1242	1242	-23422	
1243	1243	-16919	
1244	1244	-6885	
1245	1245	4840	
1246	1246	15382	
1247	1247	22639	
1248	1248	24991	
1249	1249	21817	
1250	1250	13718	
1251	1251	2365	
1252	1252	-9354	
1253	1253	-18933	
1254	1254	-24344	
1255	1255	-24294	
1256	1256	-18951	
1257	1257	-9508	
1258	1258	1872	
1259	1259	12879	
1260	1260	21215	
1261	1261	24908	
1262	1262	23134	
1263	1263	16062	
1264	1264	5372	
1265	1265	-6552	
1266	1266	-16924	
1267	1267	-23473	
1268	1268	-24811	
1269	1269	-20795	
1270	1270	-12226	
1271	1271	-1011	
1272	1272	10522	
1273	1273	19551	
1274	1274	24509	
1275	1275	24104	
1276	1276	18424	
1277	1277	8370	
1278	1278	-3560	
1279	1279	-14625	
1280	1280	-22341	
1281	1281	-25011	
1282	1282	-22232	
1283	1283	-14670	
1284	1284	-3971	
1285	1285	7726	
1286	1286	17471	
1287	1287	23726	
1288	1288	24711	
1289	1289	20189	
1290	1290	11011	
1291	1291	-511	
1292	1292	-12066	
1293	1293	-20847	
1294	1294	-24830	
